timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1777797825.9533033,0.000,0.031,primary
1777797827.0598114,234.283,0.000,primary
1777797828.136413,1416.137,0.000,backup
1777797829.2237554,467.670,0.000,backup
1777797830.2631614,0.000,0.000,backup
1777797831.3131354,0.000,0.192,backup
1777797832.335466,0.000,0.139,backup
1777797833.582717,200.140,0.206,primary
1777797834.752843,1108.895,0.000,backup
1777797835.8426445,542.010,0.101,backup
1777797836.9436314,0.002,0.130,backup
1777797837.9738078,0.001,0.127,backup
1777797838.9829102,0.000,0.050,backup
1777797840.2165682,144.280,0.005,primary
1777797841.2394805,847.316,0.000,primary
1777797842.352306,972.056,0.000,backup
1777797843.910591,416.065,0.122,backup
1777797844.9654222,0.000,0.170,backup
1777797846.066782,0.000,0.156,backup
1777797847.1659555,0.000,0.166,backup
1777797848.1982708,702.164,0.054,primary
1777797849.3363216,1076.002,0.000,backup
1777797850.5126936,505.006,0.032,backup
1777797851.5128036,0.000,0.033,backup
1777797852.5841808,0.000,0.028,backup
1777797853.7155843,0.000,0.000,backup
1777797855.158459,352.854,0.129,primary
1777797856.2491348,1157.096,0.000,backup
1777797857.277085,579.630,0.054,backup
1777797858.3135114,0.003,0.056,backup
1777797859.406326,0.002,0.067,backup
1777797860.4410028,0.000,0.038,backup
1777797861.5153582,0.000,0.024,primary
1777797862.5491025,1032.375,0.021,backup
1777797863.555482,481.359,0.009,backup
1777797864.5983407,0.000,0.000,backup
1777797865.716134,0.000,0.033,backup
1777797866.821867,0.000,0.007,backup
1777797867.9873464,0.000,0.013,primary
1777797869.034444,666.659,0.001,primary
1777797870.2232144,1114.988,0.000,backup
1777797871.3181431,649.980,0.001,backup
1777797872.3963702,0.000,0.000,backup
1777797873.4192994,0.000,0.010,backup
1777797874.437054,0.000,0.031,backup
1777798027.5602949,0.000,0.000,primary
1777798028.611485,0.001,0.000,primary
1777798029.6403189,0.000,0.000,primary
1777798030.7249384,0.000,0.000,primary
1777798031.9736369,0.000,0.000,primary
1777798033.0646307,0.000,0.000,primary
1777798034.0804458,0.000,0.000,primary
1777798035.1804557,0.000,0.001,primary
1777798036.225082,0.001,0.001,primary
1777798037.2406607,0.000,0.000,primary
1777798038.2500048,0.000,0.000,primary
1777798039.2645228,592.381,0.000,primary
1777798040.316181,1150.594,0.000,backup
1777798041.3260295,624.532,0.023,backup
1777798042.347611,0.002,0.019,backup
1777798043.3875053,0.001,0.019,backup
1777798044.4035745,0.000,0.019,backup
1777798045.4250891,0.000,0.000,primary
1777798046.5704803,364.718,0.001,primary
1777798047.6226053,1381.625,0.000,backup
1777798048.624147,502.044,0.001,backup
1777798049.655921,0.000,0.000,backup
1777798050.6745646,0.000,0.000,backup
1777798051.6849313,0.000,0.000,backup
1777798052.9839554,0.000,0.000,primary
1777798054.0878098,0.000,0.000,primary
1777798055.1283197,0.000,0.000,primary
1777798056.1656628,0.000,0.000,primary
1777798057.191184,922.519,0.000,primary
1777798058.197645,1309.878,0.000,backup
1777798059.2511904,517.878,0.024,backup
1777798060.3569713,0.004,0.027,backup
1777798061.4544148,0.000,0.006,backup
1777798062.5306985,0.000,0.016,backup
1777798063.6376872,0.000,0.000,primary
1777798064.6377199,1794.803,0.000,backup
1777798065.7598388,655.136,0.012,backup
1777798066.841992,0.000,0.000,backup
1777798067.9428432,0.000,0.000,backup
1777798069.0057523,0.000,0.000,backup
1777798070.060019,0.000,0.000,primary
1777798071.1135452,0.000,0.000,primary
1777798072.2144725,1526.317,0.000,backup
1777798073.261547,2232.989,0.001,backup
1777798074.286848,0.000,0.000,backup
1777798075.3446035,0.000,0.000,backup
1777798076.3807452,0.000,0.000,backup
1777798077.4647033,0.000,0.000,primary
1777798078.9082727,0.000,0.000,primary
1777798080.3179636,0.000,0.000,primary
1777798081.395383,0.000,0.000,primary
1777798082.4858484,0.000,0.000,primary
1777798083.60215,0.000,0.000,primary
1777798084.7276728,0.000,0.000,primary
1777798085.7659314,0.000,0.000,primary
1777798086.7708387,0.000,0.000,primary
1777798087.7915473,0.000,0.008,primary
1777798088.7945602,0.000,0.000,primary
1777798089.8929484,0.000,0.000,primary
1777798090.9226167,0.000,0.000,primary
1777798091.9455438,0.000,0.000,primary
1777798092.9698424,0.000,0.001,primary
1777798094.0181243,0.000,0.000,primary
1777798095.0836887,0.000,0.000,primary
1777798096.1911128,0.000,0.000,primary
1777798097.2625694,0.000,0.001,primary
1777798098.3638825,0.000,0.000,primary
1777798099.4543455,0.000,0.000,primary
1777798100.5211275,0.001,0.001,primary
1777798101.6468785,0.038,0.000,primary
1777798102.6847558,0.000,0.000,primary
1777798103.7658129,0.008,0.000,primary
1777798104.839937,0.003,0.000,primary
1777798105.8564336,0.002,0.002,primary
1777798106.8648546,0.000,0.000,primary
1777798107.9485924,0.000,0.000,primary
1777798108.9922304,0.012,0.000,primary
1777798110.0605202,0.000,0.000,primary
1777798111.138102,0.000,0.000,primary
1777798112.2352865,462.417,0.000,primary
1777798113.3622332,1222.301,0.000,backup
1777798114.4006042,570.559,0.017,backup
1777798115.4933734,0.000,0.015,backup
1777798116.542284,0.000,0.017,backup
1777798117.5532296,0.000,0.018,backup
1777798118.742892,0.011,0.001,primary
1777798119.7726152,1236.914,0.000,backup
1777798120.8427281,495.413,0.030,backup
1777798121.853179,0.000,0.000,backup
1777798122.9158897,0.000,0.000,backup
1777798123.925149,0.000,0.000,backup
1777798125.1689065,0.003,0.000,primary
1777798126.2256422,0.000,0.000,primary
1777798127.2536564,0.000,0.000,primary
1777798128.2567518,0.000,0.000,primary
1777798129.3188946,0.000,0.000,primary
1777798130.322493,0.000,0.000,primary
1777798131.3453295,0.000,0.000,primary
1777798132.3620493,0.000,0.000,primary
1777798133.4511836,0.002,0.000,primary
1777798134.5454593,0.000,0.000,primary
1777798135.6360054,0.000,0.000,primary
1777798136.6412117,0.000,0.000,primary
1777798137.7623508,0.000,0.000,primary
1777798138.8287816,0.000,0.000,primary
1777798139.840094,0.000,0.000,primary
1777798140.9184158,0.000,0.000,primary
1777798142.0190268,0.000,0.000,primary
1777798143.1318288,0.000,0.000,primary
1777798144.2324066,0.000,0.000,primary
1777798145.244917,0.000,0.000,primary
1777798146.2617433,0.000,0.000,primary
1777798147.37726,0.000,0.000,primary
1777798148.428752,0.000,0.000,primary
1777798149.4300127,0.000,0.000,primary
1777798150.4546478,0.000,0.000,primary
1777798151.471854,0.000,0.000,primary
1777798152.508627,0.000,0.000,primary
1777798153.5780795,0.000,0.000,primary
1777798154.6204538,0.000,0.000,primary
1777798155.712759,0.000,0.000,primary
1777798156.7603302,0.000,0.000,primary
1777798157.8213365,0.000,0.000,primary
1777798158.8564913,0.000,0.000,primary
1777798159.944383,0.000,0.000,primary
1777798161.0090857,0.000,0.000,primary
1777798162.0487804,0.000,0.000,primary
1777798788.7073348,0.000,0.000,primary
1777798789.7414277,0.000,0.000,primary
1777798790.7829995,0.000,0.000,primary
1777798791.826743,0.000,0.000,primary
1777798793.0256245,0.000,0.000,primary
1777798794.1377447,0.000,0.000,primary
1777798795.307512,0.000,0.000,primary
1777798796.4056482,0.000,0.000,primary
1777798797.5144265,0.056,0.000,primary
1777798798.550161,0.000,0.000,primary
1777798799.6233253,0.001,0.000,primary
1777798800.6589208,0.000,0.001,primary
1777798801.661184,0.000,0.000,primary
1777798802.7294044,0.002,0.002,primary
1777798803.7373507,0.000,0.000,primary
1777798804.786874,0.059,0.000,primary
1777798805.819816,0.060,0.001,primary
1777798806.8650484,0.000,0.000,primary
1777798807.9602017,0.000,0.000,primary
1777798808.9989502,0.000,0.000,primary
1777798810.0084922,0.000,0.000,primary
1777798811.0348132,0.000,0.000,primary
1777798812.0807116,0.000,0.000,primary
1777798813.1140854,0.000,0.000,primary
1777798814.1566265,0.000,0.000,primary
1777798815.1929357,0.000,0.000,primary
1777798816.2095258,0.000,0.000,primary
1777798817.2959774,0.000,0.000,primary
1777798818.3676028,0.000,0.000,primary
1777798819.4094763,0.000,0.000,primary
1777798820.4578748,0.000,0.000,primary
1777798821.4973547,0.000,0.000,primary
1777798907.4912896,0.000,0.000,primary
1777798908.512726,0.000,0.000,primary
1777798909.747623,0.000,0.000,primary
1777798910.7778254,0.000,0.000,primary
1777798911.7831478,0.000,0.000,primary
1777798912.8265092,0.000,0.000,primary
1777798913.9363697,0.000,0.000,primary
1777798915.0488374,0.000,0.000,primary
1777798916.1036081,0.000,0.000,primary
1777798917.1686723,0.000,0.000,primary
1777798918.260763,0.056,0.000,primary
1777798919.2847497,0.000,0.000,primary
1777798920.346039,0.000,0.000,primary
1777798921.3616478,0.000,0.000,primary
1777798922.3793678,0.000,0.000,primary
1777798923.436871,0.000,0.000,primary
1777798924.4445033,0.000,0.000,primary
1777798925.4527144,0.000,0.000,primary
1777798926.4700236,0.000,0.000,primary
1777798927.521221,0.000,0.000,primary
1777799196.8266122,0.000,0.000,primary
1777799197.9201295,0.000,0.000,primary
